ID,Renta_secc,n,distance,feature_x,feature_y,nearest_x,nearest_y
"28130","10738","1",193.934885084474075,458881.279789614549372,4476270.675834938883781,459063.085290555609390,4476338.185089713893831
"2813101","16421","1",1014.756915690546066,404585.356211274920497,4497211.925187862478197,405177.334807224979158,4498036.117483312264085
"2813102","12479","1",263.389538950259009,402757.395881201198790,4495746.799108501523733,403009.616359585255850,4495822.686390124261379
"28132","12582","1",2246.807450067004083,452230.482046345830895,4454894.517382616177201,451677.294895310362335,4452716.874690711498260
"28133","9995","1",713.249378293455607,384027.245787584746722,4468823.860376204364002,384113.121787684154697,4469531.921099760569632
"28134","18881","1",650.331817579607218,449248.191883209394291,4491761.001716320402920,448784.960286858258769,4491304.550228100270033
"28137","11597","1",0.247035608301357,478336.442791879526339,4484707.445381229743361,478336.237753578810953,4484707.307591944932938
28140_AM,"13479","1",1243.053677119362874,422266.589669284876436,4452237.077371810562909,421209.020225348707754,4452890.322590279392898
"28141","13391","1",985.143734195580464,411803.086410095216706,4467554.182614361867309,411226.046170634508599,4468352.639087231829762
"28144","17722","1",1813.804425457415846,433455.681111861253157,4511025.669480861164629,434304.690576154389419,4512628.501169888302684
"28145","11376","1",1274.705526822737738,458533.041484073444735,4509628.672574376687407,459192.695221278001554,4508537.924607564695179
"28146","10200","1",0.532096277387018,474300.315572200051975,4453687.949571464210749,474299.788222961884458,4453688.020488523878157
"2814801","14619","1",255.201322145535187,461587.736905711644795,4481327.932208702899516,461656.979486475291196,4481573.560341932810843
"2814802","11327","1",141.141444986332914,461556.087028509762604,4478210.603403411805630,461674.686553531151731,4478134.085038573481143
"2814803","17283","1",355.084423622640713,459489.330004613322672,4477111.481377147138119,459770.523151713015977,4477328.311637774109840
"2814804","9125","1",450.961384689839235,458810.180450920481235,4479931.991812406107783,458698.415074492455460,4480368.883871287107468
"28149","13183","1",854.626572751362460,432037.112528917321470,4450607.204174318350852,431257.474124111060519,4450257.131986614316702
"28150","12759","1",1156.558153895542091,436362.385824666998815,4447404.942585730925202,436111.096167093026452,4446276.013769844546914
28151_AM,"12726","1",512.442788143053463,452931.308092818653677,4519062.973260273225605,452452.543295685318299,4519245.680348657071590
"28152","14610","1",193.502376045146121,421607.398485853918828,4492064.171614507213235,421436.030455885687843,4492154.039116085506976
"28154","10716","1",1521.051557259635047,468760.994703358097468,4473324.109988261014223,469176.888381411670707,4474787.199284372851253
"28160","10722","1",657.484206924961882,409458.539697744883597,4484245.902209874242544,409648.567350428376812,4483616.477890697307885
"2816101","11371","1",978.643349565478616,444200.224649410927668,4448177.629063202068210,444181.080954344361089,4447199.172970887273550
"2816102","13466","1",126.121833007722458,441442.087222486385144,4450215.514419212006032,441389.444535175745841,4450330.124472147785127
